tract_id,tract_name,closest_stop_id,median_income
42101980700,Census Tract 9807,18141,
42101002701,Census Tract 27.01,24213,84055
42101980600,Census Tract 9806,363,
42101033701,Census Tract 337.01,23111,47109
42101033702,Census Tract 337.02,23823,72696
42101031502,Census Tract 315.02,22457,40000
42101031401,Census Tract 314.01,5641,50810
42101031402,Census Tract 314.02,23044,51546
42101016701,Census Tract 167.01,2670,35425
42101016702,Census Tract 167.02,3026,31385
42101027901,Census Tract 279.01,15499,35914
42101027902,Census Tract 279.02,24598,33702
42101008101,Census Tract 81.01,198,44261
42101007102,Census Tract 71.02,21712,29321
42101008802,Census Tract 88.02,22230,17465
42101008702,Census Tract 87.02,21429,33902
42101008701,Census Tract 87.01,22156,47566
42101008102,Census Tract 81.02,24523,41900
42101008602,Census Tract 86.02,25587,30822
42101037500,Census Tract 375,20576,75000
42101980800,Census Tract 9808,19473,
42101018002,Census Tract 180.02,21113,70610
42101008801,Census Tract 88.01,21363,36250
42101012201,Census Tract 122.01,30935,36646
42101009801,Census Tract 98.01,21670,68165
42101007101,Census Tract 71.01,20819,34552
42101002801,Census Tract 28.01,18500,67021
42101980500,Census Tract 9805,18589,
42101000801,Census Tract 8.01,315,126905
42101001101,Census Tract 11.01,32128,48370
42101027402,Census Tract 274.02,16959,61895
42101008601,Census Tract 86.01,22122,64702
42101036502,Census Tract 365.02,23324,86615
42101036700,Census Tract 367,22029,150952
42101037600,Census Tract 376,16850,94399
42101038600,Census Tract 386,1308,144531
42101038500,Census Tract 385,26514,107375
42101038700,Census Tract 387,26517,118750
42101038800,Census Tract 388,17017,84632
42101038900,Census Tract 389,18250,46250
42101980000,Census Tract 9800,31684,
42101026900,Census Tract 269,24704,75101
42101027000,Census Tract 270,24810,83750
42101027100,Census Tract 271,22724,54725
42101027200,Census Tract 272,17942,58543
42101027300,Census Tract 273,27715,45680
42101027500,Census Tract 275,16240,52989
42101027600,Census Tract 276,17718,41957
42101027700,Census Tract 277,25288,29574
42101027800,Census Tract 278,18486,43555
42101028000,Census Tract 280,22199,31797
42101028100,Census Tract 281,24595,46378
42101028200,Census Tract 282,17394,30611
42101031800,Census Tract 318,22596,57094
42101031900,Census Tract 319,15769,45290
42101032000,Census Tract 320,21608,54142
42101032100,Census Tract 321,17914,43525
42101032300,Census Tract 323,17918,32859
42101032500,Census Tract 325,17951,45163
42101032600,Census Tract 326,17945,64488
42101989100,Census Tract 9891,22556,-
42101032900,Census Tract 329,23503,41563
42101033000,Census Tract 330,22705,46884
42101033200,Census Tract 332,32633,70750
42101980300,Census Tract 9803,23857,
42101035500,Census Tract 355,26132,61579
42101035800,Census Tract 358,26141,59764
42101035900,Census Tract 359,29965,58772
42101036000,Census Tract 360,30204,56250
42101036100,Census Tract 361,22892,64688
42101036203,Census Tract 362.03,22936,73063
42101035302,Census Tract 353.02,23704,58750
42101036201,Census Tract 362.01,23905,77788
42101036302,Census Tract 363.02,22659,65612
42101036900,Census Tract 369,22232,
42101037300,Census Tract 373,29444,88348
42101037200,Census Tract 372,18577,60643
42101038300,Census Tract 383,17657,
42101039000,Census Tract 390,30387,
42101037800,Census Tract 378,30841,62411
42101037700,Census Tract 377,16868,19437
